TXNAME	GENEID	HepG2_directRNA_R1.sorted	A549_directRNA_R2.sorted	A549_directRNA_R3.sorted	HepG2_directRNA_R2.sorted	HepG2_directRNA_R3.sorted	A549_directRNA_R1.sorted
ENST00000248980	ENSG00000128253	0	0	0	0	0	0
ENST00000248983	ENSG00000128253	0	0	0	0	0	0
ENST00000249005	ENSG00000128274	0	10.8	4	0	0	4
ENST00000249007	ENSG00000128276	0	0	0	0	0	0
ENST00000249014	ENSG00000128283	312	141	50	24	32	10
ENST00000249016	ENSG00000128285	2	0	0	0	0	0
ENST00000249041	ENSG00000128310	0	0	0	0	0	0
ENST00000249042	ENSG00000128311	22.15647	194.20726	54.72773	2.22488	0	23.23331
ENST00000249044	ENSG00000128313	0	0	0	0	0	0
ENST00000249053	ENSG00000128322	0	0	0	0	0	0
ENST00000249064	ENSG00000159873	32.54448	41.21157	14	2	1.00001	9.45999
ENST00000249066	ENSG00000128335	0	0	0	0	0	0
ENST00000249071	ENSG00000128340	0	0	1	0	1	0
ENST00000249075	ENSG00000128342	6	40.48283	15.74334	0	3	6
ENST00000249079	ENSG00000128346	0	0	0	0	0	0
ENST00000249116	ENSG00000128383	0	0	0	0	0	0
ENST00000251973	ENSG00000100065	29.64062	50.93657	12.55355	6	0	5
ENST00000251993	ENSG00000100364	0	26.71105	2.73045	0	0	0
ENST00000252029	ENSG00000025708	10.21316	20.28401	3.25052	1.94905	0	1.65587
ENST00000252115	ENSG00000100227	63.71964	84.90185	36.5625	1	5	20.125
ENST00000252134	ENSG00000243156	0	0	0	0	0	0
ENST00000252136	ENSG00000099899	6.46936	23.89156	11.22174	0	0	4.06479
ENST00000252137	ENSG00000100056	4	39.9203	22	2	1	6
ENST00000252785	ENSG00000130489	0	0	0	0	0	0
ENST00000252835	ENSG00000130538	0	0	0	0	0	0
ENST00000252934	ENSG00000130638	123	459.64901	159	14	23	61
ENST00000253255	ENSG00000130943	1	0	0	0	0	0
ENST00000253413	ENSG00000131100	123	353.72273	143.38525	20	16	43
ENST00000255784	ENSG00000100147	1	4	6	2	1	0
ENST00000255830	ENSG00000133460	0.52247	0	0	0	0	0
ENST00000255858	ENSG00000133488	0	0	1.33333	0	0	0
ENST00000255882	ENSG00000241973	12	54	12.77895	3	1.97441	3.97424
ENST00000255890	ENSG00000133519	0	0.74576	0	0	0	0.66667
ENST00000262607	ENSG00000093072	0	1	0	0	0	0
ENST00000262608	ENSG00000099954	0	0	0	0	0	0
ENST00000262722	ENSG00000077942	28.35957	100.68214	38	11	2	10
ENST00000262726	ENSG00000186976	0	0	0	0	0	0
ENST00000262735	ENSG00000186951	6	8	0.5	0.5	2	0
ENST00000262738	ENSG00000075275	1.73832	48.19171	18.35542	0	0	1.70942
ENST00000262794	ENSG00000073146	1	0	0	0	0	0
ENST00000262795	ENSG00000251322	9	5	0	1	0	0
ENST00000262825	ENSG00000100368	0	0	0	0	0	0
ENST00000262829	ENSG00000100320	0	0	0	0	0	0
ENST00000263112	ENSG00000099998	0	0	0	0	0	0
ENST00000263116	ENSG00000100228	0	15	8	0	0	3
ENST00000263119	ENSG00000099991	0	19.83832	8.53816	0.8	1.66667	0.37372
ENST00000263121	ENSG00000099956	65.77452	137.56601	34.91379	5.14286	1.77313	14.4
ENST00000263196	ENSG00000070413	57.10143	0	20	1	3.5	2.75
ENST00000263201	ENSG00000093009	0	93.19651	41.87281	0	0	13.96459
ENST00000263202	ENSG00000070010	47.2	278.47052	107.8757	5.95488	8	38.35135
ENST00000263205	ENSG00000099917	8.41136	23.62665	7.19852	1.81922	0	1.69313
ENST00000263207	ENSG00000099889	1.58684	0	1	0	0	0.5
ENST00000263208	ENSG00000100084	32	39	20	6	5	4.5
ENST00000263212	ENSG00000100034	23	44.73893	16	0.5	3	6
ENST00000263245	ENSG00000242247	30.31579	22.8266	20.30769	3	5	10
ENST00000263246	ENSG00000100266	78.87566	169.56582	70.11797	9	6	23.33333
ENST00000263253	ENSG00000100393	21	59	13	5	0	3
ENST00000263255	ENSG00000100372	0	0	0	0	0	0
ENST00000263256	ENSG00000100418	57	123	49	3	5	20
ENST00000266085	ENSG00000100234	90	0	0	11	9	0
ENST00000266086	ENSG00000100191	0	0	0	0	0	0
ENST00000266087	ENSG00000100225	95.10989	177.39431	69.22228	18	8	18.125
ENST00000266088	ENSG00000100170	0	0	0	0	0	0
ENST00000266095	ENSG00000241878	0	0	0	0	0	0
ENST00000266182	ENSG00000138892	0	0	0	0	0	0
ENST00000266252	ENSG00000138942	1.7695	6.25083	0	0	0	0
ENST00000266254	ENSG00000100271	2	3	2	0	0	0.33333
ENST00000266263	ENSG00000242114	13.69432	145.59345	53.45098	5	0	25.08735
ENST00000266269	ENSG00000100105	3.12966	0	1.25	3	0	0
ENST00000266304	ENSG00000167074	11	7	0.5	0	0	1
ENST00000290429	ENSG00000100294	9.6	65.40964	25.6	1	1	5
ENST00000290460	ENSG00000159307	0	0	0	0	0	0
ENST00000290691	ENSG00000159496	0	0	0	0	0	0
ENST00000290730	ENSG00000099958	0	0	0	0	0	0
ENST00000290765	ENSG00000133433	2	0	0	0	1	0
ENST00000290846	ENSG00000100416	3.88053	16.7793	11.04753	1	0	2
ENST00000291232	ENSG00000159958	0	0	0	0	0	0
ENST00000292729	ENSG00000161133	0	0	0	0	0	0
ENST00000292733	ENSG00000099917	8.95038	19.06526	6.55428	0	0	3.59955
ENST00000292748	ENSG00000161149	0	0.5	0	0	0	0
ENST00000292778	ENSG00000161179	10.13308	58.14571	26.80437	0	0	7.89511
ENST00000292779	ENSG00000161180	0	0	0	0	0	0
ENST00000299821	ENSG00000025770	0	0	9.89055	0	2	0
ENST00000300105	ENSG00000166862	0	0	0	0	0	0
ENST00000300399	ENSG00000184459	0	0	0	0	0	0
ENST00000301923	ENSG00000100354	0	0	0	0	1	0
ENST00000302097	ENSG00000169548	3	7	1	0	1	0
ENST00000302273	ENSG00000169575	0	0	0	0	0	0
ENST00000302326	ENSG00000169184	0	7	3	0	0	0
ENST00000303434	ENSG00000170638	18.11474	72.96823	35.31144	2	2	3.34436
ENST00000303592	ENSG00000168135	0	1	0	0	0	0
ENST00000305199	ENSG00000169314	0	0	0	0	0	0
ENST00000305877	ENSG00000186716	50	61	16	4	8.58945	13
ENST00000306149	ENSG00000172346	0	5	2	0	0	0
ENST00000307221	ENSG00000172404	0	0	1	0	0	0
ENST00000307790	ENSG00000100325	17.76244	59.36529	34.76499	0	0.5	10
ENST00000308521	ENSG00000128394	1	2.5	2	0	0	1
ENST00000308700	ENSG00000175329	2	0	0	2	0	0
ENST00000310624	ENSG00000100285	0	0	0	0	0	0
ENST00000311597	ENSG00000100427	0	0	0	0	0	0
ENST00000312108	ENSG00000205560	0	0	0	0	0	0
ENST00000312310	ENSG00000172912	0	0	0	0	0	0
ENST00000313237	ENSG00000056487	0	0	0.25	0	0	0.25
ENST00000313755	ENSG00000100033	0	0	0	0	0	0
ENST00000314328	ENSG00000100014	0	26.85714	9.5	2	3.5	4
ENST00000314567	ENSG00000205643	1	26.84211	7	0	0	3
ENST00000316027	ENSG00000183785	0.5	0	0	0	0	0
ENST00000316185	ENSG00000133460	0	1	0	0	0	0
ENST00000317361	ENSG00000015475	0	3.94267	1.26	0	0	0
ENST00000317368	ENSG00000100280	0	7.15932	1.35023	0	0	0
ENST00000317582	ENSG00000099968	6.44653	15.42418	5.8671	2	0	0.05964
ENST00000317749	ENSG00000189269	0	0	0	0	0	0
ENST00000318109	ENSG00000099958	0	0	0	0	0	0
ENST00000318753	ENSG00000178026	11.6456	19.90476	2.66667	3	0.5	3
ENST00000318801	ENSG00000100321	3	39.8426	16	0	0	2
ENST00000319136	ENSG00000100342	0	0	0	0	0	0
ENST00000319363	ENSG00000177663	9.33333	23	4.65548	1	0	2
ENST00000320372	ENSG00000178248	0	0	0	0	0	0
ENST00000320521	ENSG00000100156	0	0	0	0	0	0
ENST00000320602	ENSG00000099904	0	0	0	0	0	0.75
ENST00000320982	ENSG00000133488	0	0	1.33333	0	0	0
ENST00000320996	ENSG00000180957	18.28101	11.23461	6.17629	0	1.66667	0
ENST00000321205	ENSG00000133488	0	0	1.33333	0	0	0
ENST00000321753	ENSG00000177096	0	0	0	0	0	0
ENST00000323013	ENSG00000189306	54	324	132	9	6	38
ENST00000323205	ENSG00000100116	1	1	0	0	0	0
ENST00000323630	ENSG00000100330	0	0	0	0	0	0
ENST00000324198	ENSG00000100077	17	23	14	1	1	4
ENST00000325157	ENSG00000176177	0	0	0	0	0	0
ENST00000325180	ENSG00000100083	2.7513	5.41709	1.62829	0	0	0
ENST00000325301	ENSG00000100335	42.50295	45.70884	28.44444	4	8	4.5
ENST00000325660	ENSG00000177993	0	0	0	0	0	0
ENST00000326010	ENSG00000100024	0	0	0	0	0	0
ENST00000326132	ENSG00000138942	17.2305	44.74917	12	1	1	3
ENST00000326341	ENSG00000178803	0	0	0	0	0	0
ENST00000326597	ENSG00000100083	0	0	0	0	0	0
ENST00000327365	ENSG00000099998	1	0	0	0	0	0
ENST00000327374	ENSG00000183597	0	10.17486	3	0	0	0.14286
ENST00000327423	ENSG00000183530	8	10	5	1	2	5
ENST00000327451	ENSG00000182902	0	0	0.5	0	0	0
ENST00000327492	ENSG00000183864	65	51	17	3	13	6
ENST00000327555	ENSG00000100294	2.4	23.59036	6.4	1	0	0
ENST00000327678	ENSG00000183569	0	0	1	0	0	0
ENST00000327813	ENSG00000183762	3	0.5	0	0	0	0
ENST00000327858	ENSG00000077942	47.62709	37.94976	13	3	2	4
ENST00000328268	ENSG00000184164	11	64.92754	18.947	0	0	10
ENST00000328354	ENSG00000183765	5.78167	31.48261	13.91703	0	0	0.26807
ENST00000328429	ENSG00000100336	0	0	0	0	0	0
ENST00000328554	ENSG00000215012	0	2.15013	1.5	0	0	0
ENST00000328823	ENSG00000183066	0	0	0	0	0	0
ENST00000328879	ENSG00000099910	11	25	9	0	0	4
ENST00000328933	ENSG00000100321	0	3.1574	2	0	0	0
ENST00000329021	ENSG00000235568	0	0	0	0	0	0
ENST00000329363	ENSG00000177989	0	1.76675	0	0	0	0
ENST00000329492	ENSG00000008735	4.59408	10.0992	4.54973	0	0	0
ENST00000329517	ENSG00000185838	1.293	12.99201	1.36781	1	0	1
ENST00000329563	ENSG00000100300	0	0	0	0	0	0
ENST00000329620	ENSG00000183066	0	0	0	0	0	0
ENST00000329627	ENSG00000215193	11.20402	15.80509	7.67681	1	0.5	4
ENST00000329705	ENSG00000184058	0	0	0	0	0	0
ENST00000329743	ENSG00000185837	0	0	0	0	0	0
ENST00000329949	ENSG00000239511	0	0	0	0	0	0
ENST00000330029	ENSG00000184076	213.52529	441.56685	234.83146	37.69565	20.53333	88.14815
ENST00000330125	ENSG00000184708	7.5	32.08937	12.34574	0	1	0
ENST00000330168	ENSG00000248751	0	0	1	0	0	0
ENST00000330232	ENSG00000093072	0	0	0	0	0	0
ENST00000330377	ENSG00000128322	0	0	0	0	0	0
ENST00000330423	ENSG00000183785	0.5	0	0	0	0	0
ENST00000330495	ENSG00000183530	0	2	0	0	0	0
ENST00000330651	ENSG00000185386	0	14.36088	3	0	0	1
ENST00000330817	ENSG00000182858	8	78	15	1	3	9
ENST00000330884	ENSG00000130540	0	0	0	0	0	0
ENST00000331018	ENSG00000100271	0	0	0	0	0	0
ENST00000331029	ENSG00000182944	0	4.37384	0	0	0	0
ENST00000331075	ENSG00000185133	0	0	2	0.25795	0	0
ENST00000331103	ENSG00000100106	0	0	0	0	0	0
ENST00000331163	ENSG00000100311	4	13	7	0	0	2
ENST00000331428	ENSG00000172967	0	0	0	0	0	0
ENST00000331437	ENSG00000183307	0	1	0	0	0	0
ENST00000331444	ENSG00000183628	0	2.17197	0	0	0	1
ENST00000331454	ENSG00000100324	0	0.5	0	0	0	0
ENST00000331457	ENSG00000185721	99	259	106	20	9	35
ENST00000331479	ENSG00000183172	89.86876	99.7262	46.88462	16.6305	5	18.9
ENST00000331505	ENSG00000183246	0	0	0	0	0	0
ENST00000331728	ENSG00000182541	22	9	3	2	0	0
ENST00000331821	ENSG00000099901	0	0	0	0	0	0
ENST00000332035	ENSG00000182944	2.30483	5.92995	0	0	0	0
ENST00000332050	ENSG00000182944	0	1.85156	0	0	0	0
ENST00000332271	ENSG00000184571	0	0	0	0	0	0
ENST00000332468	ENSG00000099999	0	2	0	0	0	0
ENST00000332509	ENSG00000184381	0	0	0	0	0	0
ENST00000332536	ENSG00000128298	0	0	0	0	0	0
ENST00000332585	ENSG00000184792	0.5	10	1	0	0	0
ENST00000332710	ENSG00000184058	0	7	3	0	0	1
ENST00000332840	ENSG00000185666	0.0248	0	0	0	0	0
ENST00000332965	ENSG00000182057	0	0.70175	0	0	0	0
ENST00000332987	ENSG00000100336	0	0	0	0	0	0
ENST00000333027	ENSG00000100330	10.2859	4.6753	0	1	2	1.5
ENST00000333039	ENSG00000221890	13	18	3	0	1	2
ENST00000333059	ENSG00000242259	5.66667	0	0	0	0.33333	0.39872
ENST00000333130	ENSG00000185608	39	213.94054	76.8	11	1.96049	42.90698
ENST00000333137	ENSG00000183963	11	62.55005	20.89391	1	0.33333	2
ENST00000333395	ENSG00000182944	0	1.2737	0	0	0	0
ENST00000333407	ENSG00000133477	0	0	0	0	0	0
ENST00000333418	ENSG00000100142	0	0	0	0	0	0
ENST00000333467	ENSG00000179750	1	99.82387	50.84399	0	0	14
ENST00000333487	ENSG00000184068	3	5	3	0	1	1
ENST00000333611	ENSG00000182541	0	0	0	0	0	0
ENST00000334018	ENSG00000186998	0.66667	0	1	0	0	0
ENST00000334029	ENSG00000100033	0	0	0	0	0	0
ENST00000334209	ENSG00000186732	0	0	0	0	0	0
ENST00000334363	ENSG00000184470	0	5.07719	1	0	0	0
ENST00000334554	ENSG00000099904	5.5	7.5	7.11213	0	0	0.75
ENST00000334566	ENSG00000187012	0	0	0	0	0	0
ENST00000334678	ENSG00000187051	77	200.98333	84.93226	11	0	44
ENST00000334679	ENSG00000167065	0	4.02408	1	0	0	0
ENST00000334961	ENSG00000186575	0	0	0	0	0	0
ENST00000335025	ENSG00000100023	2.88583	13.76695	0	2	0	0
ENST00000335214	ENSG00000100029	3.1483	11.23638	0	0	0	1.08326
ENST00000335272	ENSG00000180957	15.8595	75.3827	21.41186	2.5	1.66667	0
ENST00000335473	ENSG00000133454	0	0	0	0	0	0
ENST00000335539	ENSG00000184381	0	1	0	0	0	0
ENST00000335626	ENSG00000100207	3	13.52	7.5	0	0	1.5
ENST00000335727	ENSG00000100354	8	9.85276	5	0	0	0
ENST00000335760	ENSG00000179750	0	0	1.15601	0	0	0
ENST00000335879	ENSG00000183569	0	0	0	0	0	0
ENST00000336156	ENSG00000100364	39	168.2796	68.26116	5	3.42805	27.15562
ENST00000336726	ENSG00000176635	0	0	0	0	0	0
ENST00000336737	ENSG00000069998	0	119.48708	42.8525	0	0	8
ENST00000336769	ENSG00000219438	0	0	0	0	0	0
ENST00000336873	ENSG00000100099	0	0	3.64345	0	0	0.86482
ENST00000336963	ENSG00000241484	0	0	0	0	0	0
ENST00000336985	ENSG00000186654	7.73137	10.91032	3.98175	0.03844	0.2	1.70033
ENST00000337137	ENSG00000054611	15.7316	26	6	1	2	4.22433
ENST00000337304	ENSG00000128272	0	0	0	0	1.66701	0
ENST00000337471	ENSG00000197549	0	0	0	0	0	0
ENST00000337539	ENSG00000128271	1.5	0	0.25	0	0.25	0
ENST00000337554	ENSG00000100300	4	548.9362	193.61214	0.33333	0.5	50.80265
ENST00000337566	ENSG00000100413	1	1.094	0	0	0	0
ENST00000337612	ENSG00000099968	0	5.21336	0	0	0	0
ENST00000337843	ENSG00000133466	0	32.65281	20	0.5	0	1.5
ENST00000337959	ENSG00000100266	0	0	0	0	0	0
ENST00000337989	ENSG00000099991	0	1.46837	0	0	0	0
ENST00000338306	ENSG00000187860	0	0	3	0	0	0
ENST00000338483	ENSG00000185022	23	8.66369	3.48472	3	0	1
ENST00000338641	ENSG00000186575	0.33333	37.45515	14.8956	0	0	4
ENST00000338754	ENSG00000128294	11	30	19	2	0	9
ENST00000338758	ENSG00000188677	0	119	54.8465	0	0	14
ENST00000338911	ENSG00000128242	0.5	18.55086	0	2	1	5.01051
ENST00000339367	ENSG00000188078	0	0	0	0	0	0
ENST00000339464	ENSG00000188064	0	663	229	0	0	45
ENST00000339468	ENSG00000100027	0	0	0	0	0	0
ENST00000339677	ENSG00000100227	0	0	0	0	0	0
ENST00000340170	ENSG00000100084	0	0	0	0	0	4.5
